1818 719  1818.549   ?  
1818 720  1818.552  16  
1818 721  1818.554   ?  
1818 722  1818.557   ?  
1818 723  1818.560  31  
1818 724  1818.563  46  
1818 725  1818.565   ?  
1818 726  1818.568  38  
1818 727  1818.571  52  
1818 728  1818.574  30  
1818 729  1818.576   ?  
1818 730  1818.579  31  
1818 731  1818.582   ?  
1818 8 1  1818.584   ?  
1818 8 2  1818.587  28  
1818 8 3  1818.590  17  
1818 8 4  1818.593  10  
1818 8 5  1818.595  10  
1818 8 6  1818.598  13  
1818 8 7  1818.601  19  
1818 8 8  1818.604  38  
1818 8 9  1818.606  35  
1818 810  1818.609  40  
1818 811  1818.612   ?  
1818 812  1818.615  42  
1818 813  1818.617  44  
1818 814  1818.620   ?  
1818 815  1818.623   ?  
1818 816  1818.626  51  
1818 817  1818.628   ?  
1818 818  1818.631  32  
1818 819  1818.634  34  
1818 820  1818.637   ?  
1818 821  1818.639   ?  
1818 822  1818.642  36  
1818 823  1818.645  52  
1818 824  1818.647   ?  
1818 825  1818.650  59  
1818 826  1818.653   ?  
1818 827  1818.656   ?  
1818 828  1818.658   ?  
1818 829  1818.661  46  
1818 830  1818.664  10  
1818 831  1818.667  14  
1818 9 1  1818.669  14  
1818 9 2  1818.672  13  
1818 9 3  1818.675  24  
1818 9 4  1818.678  15  
1818 9 5  1818.680   ?  
1818 9 6  1818.683   ?  
1818 9 7  1818.686  54  
1818 9 8  1818.689  52  
1818 9 9  1818.691  32  
1818 910  1818.694  24  
1818 911  1818.697   ?  
1818 912  1818.699   ?  
1818 913  1818.702  20  
1818 914  1818.705  20  
1818 915  1818.708  24  
1818 916  1818.710  25  
1818 917  1818.713   ?  
1818 918  1818.716   ?  
1818 919  1818.719   ?  
1818 920  1818.721  18  
1818 921  1818.724   ?  
1818 922  1818.727   ?  
1818 923  1818.730  62  
1818 924  1818.732  16  
1818 925  1818.735  20  
1818 926  1818.738  26  
1818 927  1818.741   ?  
1818 928  1818.743   ?  
1818 929  1818.746  10  
1818 930  1818.749   ?  
181810 1  1818.752  10  
181810 2  1818.754  10  
181810 3  1818.757  11  
181810 4  1818.760  15  
